extract_name,extract_column,folder,business_logic
NationalTV,AdDate,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,AdTime,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,MarketCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,MediaTypeID,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,PrimBrandCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,ScndBrandCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,TerBrandCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,DistributorCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,Units,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,Spend,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,TVDaypartCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,Duration,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,AdCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,CreativeID,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,Pod14,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,Pod30,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,Pod120,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,PodPosition14,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,PodPosition30,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,PodPosition120,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,Impression Type,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,Market Break Type,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,NielsenProgramCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,TelecastNumber,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,TimeIntervalNumber,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,GrpPercentage,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,MonitorPlusProgramCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,DistributorID,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,DayOfWeek,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
NationalTV,UC_dim_Bridge_occ_ImpNationalTV_key,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\NationalTV.tsv,NA
SpotTV,AdDate,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,AdTime,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,MarketCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,MediaTypeID,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,PrimBrandCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,ScndBrandCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,TerBrandCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,DistributorCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,Units,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,TVDaypartCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,Duration,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,AdCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,CreativeID,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,Pod,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,PodPosition,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,PeriodYearMonth,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,DistributorID,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,DayOfWeek,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,TimeIntervalNumber,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,Monitor Plus Program Code,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,Spend,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,RegionalIndicator,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
SpotTV,UC_dim_Bridge_occ_ImpSpotTV_key,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\SpotTV.tsv,NA
FSICoupon,AdDate,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\FSICoupon.tsv,NA
FSICoupon,MarketCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\FSICoupon.tsv,NA
FSICoupon,MediaTypeID,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\FSICoupon.tsv,NA
FSICoupon,PrimBrandCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\FSICoupon.tsv,NA
FSICoupon,ScndBrandCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\FSICoupon.tsv,NA
FSICoupon,TerBrandCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\FSICoupon.tsv,NA
FSICoupon,DistributorCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\FSICoupon.tsv,NA
FSICoupon,AdCode,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\FSICoupon.tsv,NA
FSICoupon,Units,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\FSICoupon.tsv,NA
FSICoupon,Spend,\\department\Nielsen Extracts\AdIntel\{Year}\Occurrences\FSICoupon.tsv,NA
